OTU_3, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Collinsella
OTU_4, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Eggerthella
OTU_8, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides
OTU_9, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Barnesiella
OTU_10, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Butyricimonas
OTU_11, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Odoribacter
OTU_12, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Parabacteroides
OTU_14, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Paraprevotella
OTU_15, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella
OTU_16, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes
OTU_20, Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Gemella
OTU_22, Bacteria, Firmicutes, Bacilli, Lactobacillales, Carnobacteriaceae, Granulicatella
OTU_24, Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus
OTU_27, Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus
OTU_28, Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium
OTU_29, Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Anaerofustis
OTU_30, Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Eubacterium
OTU_35, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XIII, Anaerovorax
OTU_36, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XIII, Mogibacterium
OTU_37, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XIV, Blautia
OTU_40, Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Coprococcus
OTU_41, Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Dorea
OTU_45, Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Roseburia
OTU_48, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Anaerofilum
OTU_49, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Anaerotruncus
OTU_50, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Butyricicoccus
OTU_51, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Faecalibacterium
OTU_53, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Oscillibacter
OTU_54, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Ruminococcus
OTU_56, Bacteria, Firmicutes, Clostridia, Clostridiales, Ruminococcaceae, Subdoligranulum
OTU_57, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Acidaminococcus
OTU_58, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Allisonella
OTU_59, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Dialister
OTU_60, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Megamonas
OTU_61, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Megasphaera
OTU_63, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Phascolarctobacterium
OTU_65, Bacteria, Firmicutes, Clostridia, Clostridiales, Veillonellaceae, Veillonella
OTU_67, Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Catenibacterium
OTU_68, Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Coprobacillus
OTU_69, Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Holdemania
OTU_70, Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Solobacterium
OTU_71, Bacteria, Firmicutes, Erysipelotrichi, Erysipelotrichales, Erysipelotrichaceae, Turicibacter
OTU_76, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Parasutterella
OTU_77, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Alcaligenaceae, Sutterella
OTU_78, Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Oxalobacteraceae, Oxalobacter
